SPAR MARKITING LPO DATA ,,,,,,,,,,,,,,,,,,,,,,,
NO,,LPO Number ,company name ,Qutation numbr,finance ,Receved  ,invoice ,date ,receved  ,refrance number ,Items,Tawar ,03 mall ,Bsquare mall ,Almana ,Porto ,QQ,aljazzera ,head Office ,All Stores,Others,,
198,,4476,Margins,MTS- 2023-130 Rev.1,shazni ,15/06/2023,,shazni ,,198-Margins4476-MTS- 2023-130 Rev.1-shazni 45092,AL Jazeer Branch Grand Oppining,,,,,,,"25,000",,,,,
199,,4477,Margins,MTS- 2023- 132 Rev.1,shazni ,15/06/2023,,shazni ,,199-Margins4477-MTS- 2023- 132 Rev.1-shazni 45092,Stickers For Al MANA,,,,"7,500",,,,,,,,
200,,4550,The Yellow Gift Shop,TYTE/Q0612/23r1,shazni ,17/06/2023,,shazni ,,200-The Yellow Gift Shop4550-TYTE/Q0612/23r1-shazni 45094,Balloons For Al Jazeera Branch Grand Opening,,,,,,,"2,156",,,,,
201,,4551,Margins,MTS - 2023 - 136,shazni ,17/06/2023,,shazni ,,201-Margins4551-MTS - 2023 - 136-shazni 45094,Flags - Printing,,,,,,,"5,575",,,,,
202,,4552,Apexqatar,EQ8156,shazni ,17/06/2023,,shazni ,,202-Apexqatar4552-EQ8156-shazni 45094,Hostess and GahwaService,,,,,,,"2,100",,,,,
203,,4553,SPOT Media ,60072/118,shazni ,17/06/2023,,shazni ,,203-SPOT Media 4553-60072/118-shazni 45094, Acrylic - DIVIDER for Al Jazeera  F&V,"7,440",,,,,,,,,,,
204,,4554,What's Goin On Qatar,1223,shazni ,18/06/2023,,shazni ,,204-What's Goin On Qatar4554-1223-shazni 45095,SUPREME/ REEL AD / 1X SINGLE VIDEO POST & STORY,,,,,,,"3,000",,,,,
205,,4555,SPOT Media ,60078/118,shazni ,18/06/2023,,shazni ,,205-SPOT Media 4555-60078/118-shazni 45095,DIVIDERS Tawar Mall,"1,280",,,,,,,,,,,
206,,4556,Margins,MTS - 2023 - 138,shazni ,18/06/2023,,shazni ,,206-Margins4556-MTS - 2023 - 138-shazni 45095,Rental of golden vip barricades Al Jazeera Branch Grand Opening,,,,,,,750,,,,,
207,,4557,Margins,MTS - 2023 - 139,shazni ,18/06/2023,,shazni ,,207-Margins4557-MTS - 2023 - 139-shazni 45095,Sticker Branding For Freezer ,,,,,270,455,,,,,,
208,,4558,Margins,MTS - 2023 - 140,shazni ,18/06/2023,,shazni ,,208-Margins4558-MTS - 2023 - 140-shazni 45095,Printing fabric material ,650,,,,,,,,,,,
209,,4559,GrYp Printing ,3978,shazni ,19/06/2023,,shazni ,,209-GrYp Printing 4559-3978-shazni 45096,PRINTING Flags F&V Tawar ,"1,960",,,,,,,,,,,
210,,4560,GrYp Printing ,3986,shazni ,19/06/2023,,shazni ,,210-GrYp Printing 4560-3986-shazni 45096,DANGLERS  for Al Jazeera  Grand Opening,,,,,,,375,,,,,
211,,4561,GrYp Printing ,3998,shazni ,22/06/2023,,shazni ,,211-GrYp Printing 4561-3998-shazni 45099,Gate ARCH BRANDING IN 03 MALL SPAR Eid Al Adha ,,"1,800",,,,,,,,,,
212,,4562,GrYp Printing ,4015,shazni ,03/07/2023,,shazni ,,212-GrYp Printing 4562-4015-shazni 45110,Gate ARCH BRANDING IN TAWAR MALL SPAR Eid Al Adha ,"2,100",,,,,,,,,,,
213,,4563,Dekitate Sweets and Pastries,DSP/2023/6/15,Helvin,21/06/2023,,Helvin,,213-Dekitate Sweets and Pastries4563-DSP/2023/6/15-Helvin45098,Sweets For Al Jazeera Opening,,,,,,,"6,500",,,,,
214,,4564,GrYp Printing ,4029,Helvin,10/07/2023,,Helvin,,214-GrYp Printing 4564-4029-Helvin45117,Pallets Printing For All Stores,,,,,,,,,"6,660",,,
215,,4565,GrYp Printing ,4095,Helvin,03/08/2023,,Helvin,,215-GrYp Printing 4565-4095-shazni 45141,Branding for Back To School Tawar - B Square -03 -  QQ,,,,,,,,,"5,900",,,
216,,4566,Margins, MTS - 2023 - 0155,Helvin,03/08/2023,,Helvin,,216-Margins4566- MTS - 2023 - 0155-shazni 45141,Printing Stickers & Logo laser Cut (AL Jazeera branch ),,,,,,,"6,400",,,,,
217,,4567,Margins,MTS - 2023 - 153,Helvin,03/08/2023,,Helvin,,217-Margins4567-MTS - 2023 - 153-shazni 45141,A4 Tag Price papers 4colore,720,720,720,,,,,,,,,
218,,4568,Margins,MTS - 2023 - 151,Helvin,03/08/2023,,Helvin,,218-Margins4568-MTS - 2023 - 151-shazni 45141,Printing of indoor glass sticker Size 300x140cm HMR,900,,,,,,,,,,,
219,,4569,SPOT Media ,60240/118,Helvin,03/08/2023,,Helvin,,219-SPOT Media 4569-60240/118-shazni 45141,Danglars back to school,"2,000","2,000","2,000",,,,,,,,,
220,,4618,Qabayan Radio ,QB/5222/DTG R1,Helvin,12/08/2023,,Helvin,,220-Qabayan Radio 4618-QB/5222/DTG R1-Helvin45150,Advertising Proposal for Spar Hypermarket Radio,,,,,,,,,"3,380",,,
221,,4619,Al waraq,EST/92428,Helvin,12/08/2023,,Helvin,,221-Al waraq4619-EST/92428-Helvin45150,Printing Leaflet Back to school ,,,,,,,,,"4,300",,,
222,,4620,D4d,2308-365468,Helvin,12/08/2023,,Helvin,,222-D4d4620-2308-365468-Helvin45150,Distribution of flyer Back To school,,,,,,,,,"6,000",,,
223,,4621,BRQIA,BRQ000013082023,Helvin,13/08/2023,,Helvin,,223-BRQIA4621-BRQ000013082023-Helvin45151,SMS,,,,,,,,,"2,000",,,
224,,4622,Margins,MTS - 2023 - 0163,Helvin,10/08/2023,,Helvin,,224-Margins4622-MTS - 2023 - 0163-Helvin45148,Back to school flyer Size:A4,,,,,,,,,950,,,
225,,4623,GrYp Printing ,4121,Helvin,12/08/2023,,Helvin,,225-GrYp Printing 4623-4121-Helvin45150,FOAM BOARD STANDE,"1,110",370,370,,,,,,,,,
226,,4624,Margins,MTS - 2023 - 0174,Helvin,22/08/2023,,Helvin,,226-Margins4624-MTS - 2023 - 0174-Helvin45160,Self Payment Machine ( Fast Track ) Sticker,,,,221,,,,,,,,
227,,4625,GrYp Printing ,4153,Helvin,26/08/2023,,Helvin,,227-GrYp Printing 4625-4153-Helvin45164,PRINTING (INFORMATION DESK) FRONT SIDE ,300,,,,,,,,,,,
228,,4626,Al waraq,"EST/93132,EST/93131,EST/93130",Helvin,28/08/2023,,Helvin,,"228-Al waraq4626-EST/93132,EST/93131,EST/93130-Helvin45166"," VOUCHERS ( 20,50,100) QAR",,,,,,,,"3,000",,,FAINANCE,
229,,4627,Hursh Media,23-0927,Helvin,02-Sep-23,,Helvin,,229-Hursh Media4627-23-0927-Helvin45171,Signage ,"1,900",,,,,,,,,,Operation,
230,,4646,Hursh Media,23-0947,Helvin,05/09/2023,,Helvin,,230-Hursh Media4646-23-0947-Helvin45174,Branding Tawar Mall ( Bulk Sales ),700,,,,,,,,,,Operation,
231,,4647,What's Goin On Qatar,1482,Helvin,05/09/2023,,Helvin,,231-What's Goin On Qatar4647-1482-Helvin45174,South African Product,"4,000",,,,,,,,,,,
232,,4648,SPOT Media ,60442/118,Helvin,05/09/2023,,Helvin,,232-SPOT Media 4648-60442/118-Helvin45174,WOBBLERS ( Shelf Talker ) Flags,"1,300",,,,,,,,,,Operation,
233,,4649,al sharq ,3488,Helvin,07/09/2023,,Helvin,,233-al sharq 4649-3488-Helvin45176,Announcement of the visit of the South African Ambassador to SPAR Tawar Mall,"2,500",,,,,,,,,,,
234,,4650,GULF Publishing,464,Helvin,07/09/2023,,Helvin,,234-GULF Puplishing4650-464-Helvin45176,Announcement of the visit of the South African Ambassador to SPAR Tawar Mall,"2,500",,,,,,,,,,,
235,,4651,SPOT Media ,60387/118,Helvin,27/08/2023,,Helvin,,235-SPOT Media 4651-60387/118-Helvin45165, printing shelf  wobblers qatar products ,,,,,,,,,696,,Operation,
236,,4652,Margins,MTS - 2023 - 0190,Helvin,09/09/2023,,Helvin,,236-Margins4652-MTS - 2023 - 0190-Helvin45178,South Africa Branding,"8,000",,,,,,,,,,Operation,
237,,4653,Margins,MTS - 2023 - 0196,Helvin,09/09/2023,,Helvin,,237-Margins4653-MTS - 2023 - 0196-Helvin45178,Spar Sponsorship Roll up Stands,"1,000",,,,,,,,,,,
238,,4654,Hursh Media,23-0964,Helvin,10/09/2023,,Helvin,,238-Hursh Media4654-23-0964-Helvin45179,Branding Tawar Mall ( Bulk Sales ),"1,750",,,,,,,,,,Operation,
239,,4655,Margins,MTS - 2023 - 0202,Helvin,13/09/2023,,Helvin,,239-Margins4655-MTS - 2023 - 0202-Helvin45182a,Special Offer (Gandola Side,720,,,,,,,,,,Operation,
240,,4670,UDC,232-ELSF-RD,Helvin,18/09/2023,,Helvin,,240-UDC4670-232-ELSF-RD-Helvin45187,Renew the External Signage License ,,,,,600,,,,,,Operation,
241,,4671,BRQIA,BRQ000007092023,Helvin,23/09/2023,,Helvin,,241-BRQIA4671-BRQ000007092023-Helvin45192,SMS,,,,,,,,,"2,000",,,
242,,4672,Margins,MTS-2023 -0218,Helvin,23/09/2023,,Helvin,,242-Margins4672-MTS-2023 -0218-Helvin45192,Flags -Roll Up- Printing,,,,,,,,,"1,445",,,
243,,4673,The Yellow Gift Shop,TYTE/Q0915/23,Helvin,25/09/2023,,Helvin,,243-The Yellow Gift Shop4673-TYTE/Q0915/23-Helvin45194,Balloons For Southafrican Tawar Mall,924.8,,,,,,,,,,,
244,,4674,Harsh Media,23-01071,Helvin,02/10/2023,,Helvin,,244-Harsh Media4674-23-01071-Helvin45201,Card ( Whatsapp QR Code Printing ),,,,,,,,,"2,100",,,
245,,4675,Al waraq,EST/94465,Helvin,04/010/2023,,Helvin,,245-Al waraq4675-EST/94465-Helvin04/010/2023,Printing Flyer SPAR VALUE DEALS  2023,,,,,,,,,"1,000",,Operation,
246,,4676,LineArt Printing,2023/038,Helvin,08/10/2023,,Helvin,,246-LineArt Printing4676-2023/038-Helvin45207,Sparoo Express delivery card,,,,,,,225,,,,,
247,,4677,SPOT Media ,60617/118,Helvin,08/10/2023,,Helvin,,247-SPOT Media 4677-60617/118-Helvin45207,WOBBLERS Qatari Products,,,,,,,,,870,,,
248,,4678,Al waraq,EST/94574,Helvin,09/10/2023,,Helvin,,248-Al waraq4678-EST/94574-Helvin45208,VOUCHER 10QAR,,,,,,,,,"1,700",,,
249,,4679,Al waraq,EST/94634,Helvin,11/10/2023,,Helvin,,249-Al waraq4679-EST/94634-Helvin45210,Printing Flyer SPAR 5-10-15-20 DEALS OCT 2023,,,,,,,,,"1,000",,,
250,,4704,Margins,MTS - 2023 - 0233,Helvin,11/10/2023,,Helvin,,250-Margins4704-MTS - 2023 - 0233-Helvin45210,Printing Stickers for refrigerator SPAR Tawar & 03 ,541,,,,,,,,,,,
251,,4705,Margins,MTS -2023 -0238Rev.1,Helvin,15/10/2023,,Helvin,,251-Margins4705-MTS -2023 -0238Rev.1-Helvin45214,Wobbler & A4 Papers for Qatar Cancer Society ,,,,,,,,,"1,100",,,
252,,4706,Al waraq,EST/94817,Helvin,16/10/2023,,Helvin,,252-Al waraq4706-EST/94817-Helvin45215,A4 Paper Special Offer For shelf ,,,,,,,,,750,,,
253,,4707,Margins,MTS - 2023 - 0244,Helvin,19/10/2023,,Helvin,,253-Margins4707-MTS - 2023 - 0244-Helvin45218,Printing of banner for grand bazar,860,,,,,,,,,,,
254,,4708,Margins,MTS - 2023 - 0253,Helvin,29/10/2023,,Helvin,,254-Margins4708-MTS - 2023 - 0253-Helvin45228,TAG A4 Paper Printing,,,,,,,,,"2,160",,,
255,,4709,Margins,MTS -2023-0271Rev.2,Helvin,05/11/2023,,Helvin,,255-Margins4709-MTS -2023-0271Rev.2-Helvin45235,"Gondola sides 		",4500,,,,,,,,,,,
256,,4710,CITY MEDIA ,Qu 2023 - 01104,Helvin,05/11/2023,,Helvin,,256-CITY MEDIA 4710-Qu 2023 - 01104-Helvin45235,Dangler 120 x 90 cm,850,,,,,,,,4400,,,
257,,4711,CITY MEDIA ,Qu 2023 - 01111,Helvin,14/11/2023,,Helvin,,257-CITY MEDIA 4711-Qu 2023 - 01111-Helvin45244,Danglers for SPAR Anniversary 6 All Branches,,,,,,,,,,,,
258,,4712,Best Occasion ,174788,Helvin,14/11/2023,,Helvin,,258-Best Occasion 4712-174788-Helvin45244,Balloon Arch and Face Painting For SPAR Anniversary,2600,800,,,450,,,,,,,
259,,4713,WOW GIFTS DOHA,733,Helvin,15/11/2023,,Helvin,,259-WOW GIFTS DOHA4713-733-Helvin45245,Kids Event  at SPAR Porto Arabia- Tawar Mall,1700,,,,1700,,,,,,,
260,,4763,Al waraq,EST/85354,Helvin,16/11/2023,,Helvin,,260-Al waraq4763-EST/85354-Helvin45246,Printing Flyer SPAR Anniversary6 wave1 2023,,,,,,,,,900,,,
261,,4764,SPOT Media ,60392/118,Helvin,27/08/2023,,Helvin,,261-SPOT Media 4764-60392/118-Helvin45165,HANGING ACRYLIC For SPAR Tawar Mall,2890,,,,,,,,,,,
262,,4765,BRQIA, BRQ000015112023,Helvin,16/11/2023,,Helvin,,262-BRQIA4765- BRQ000015112023-Helvin45246,SMS,,,,,,,,,4000,,,
263,,4766,CITY MEDIA ,Qu 2023 - 01119,Helvin,19/11/2023,,Helvin,,263-CITY MEDIA 4766-Qu 2023 - 01119-Helvin45249,Danglers for SPAR Anniversary 6 All Branches,880,,,,,,,,,,,
264,,4767,Margins,MTS - 2023 - 0283,Helvin,20/11/2023,,Helvin,,264-Margins4767-MTS - 2023 - 0283-Helvin45250,Printing of security gate branding for SPAr Tawr Mall,2808,,,,,,,,,,,
265,,4771,SPOT Media ,60860/118,Helvin,21/11/2023,,Helvin,,265-SPOT Media 4771-60860/118-Helvin45251,WOBBLERS Qatari Products New,,,,,,,,,850,,,
266,,4772,Margins,MTS -2023-0265 Rev.1,Helvin,27/11/2023,,Helvin,,266-Margins4772-MTS -2023-0265 Rev.1-Helvin45257, flags - golden stanches - red carpet for car,2400,,,,,,,,,,,
267,,4773,al sharq ,8,Helvin,27/11/2023,,Helvin,,267-al sharq 4773-8-Helvin45257,Extra Coupons Of Al Sharq Shopping Festival,,,,,,,,,13000,,,
268,,4774,CITY MEDIA ,Qu 2023 - 01125,Helvin,28/11/2023,,Helvin,,268-CITY MEDIA 4774-Qu 2023 - 01125-Helvin45258,Branding for Qatari Products,2232,,,,,,,,,,,
269,,4775,WOW GIFTS DOHA,983,Helvin,30/11/2023,,Helvin,,269-WOW GIFTS DOHA4775-983-Helvin45260,Kids Event  at SPAR QQ 01/12/2023,,,,,,1600,,,,,,
270,,4785,al sharq ,172,Helvin,14/12/2023,,Helvin,,270-al sharq 4785-172-Helvin45274,Extra Coupons Of Al Sharq Shopping Festival,,,,,,,,,20000,,,
271,,4786,CITY MEDIA ,QT 0023,Helvin,14/01/2024,,Helvin,,271-CITY MEDIA 4786-QT 0023-Helvin45305,"Printing banner for  Basket T-Shirt Tawar +
 PRINTING ROLL UP BANNER WITH STAND FOR PIZZA QQ",300,,,,,130,,,,,,
272,,4787,SIGNPLUS,QTN1001202403,Helvin,22/01/2024,,Helvin,,272-SIGNPLUS4787-QTN1001202403-Helvin45313,Hanging Rode With Frames,1050,,,,,,,,,,,
